Left Lane Curve Radius, Right Lane Curve Radius, Car Distance from Center of Lane
968.926376344,1441.55656018,0.421397164018
879.526572712,1263.99537473,0.434380383326
776.830100924,1062.61720002,0.413167050726
802.3745754,3709.71847732,0.509159070605
738.159126248,1291.30630886,0.466217244299
901.79219698,3947.95572193,0.637825454572
789.140283349,407.618202449,1.07770253051
1044.96304909,232.106144014,1.08195817636
917.957624978,186.847362754,0.877282258647
1233.70278026,332.045084789,1.15212351765
1075.6227818,441.374856895,1.0028325266
857.027409253,2041.00418855,0.593291590957
699.019207197,276.184496188,0.18795840261
712.850473295,201.941279999,0.0668952373687
701.789682078,298.094541346,0.180917580286
654.740983508,607.622787418,0.507811529721
647.913050938,719.710162286,0.561663568574
633.993851922,452.412725002,0.408814511522
633.573576186,269.282293991,0.0705357180029
716.668951549,276.167539416,0.0265480348203
803.044969215,368.306968148,0.125377901758
841.328259152,320.040060082,0.0353651019534
927.617920546,215.479968272,0.417987933903
903.85471267,169.851331902,0.73332312623
795.551584468,154.34907401,0.849041420699
905.786626715,105.658247102,1.17930580849
910.818163937,93.7914753452,1.55450045131
900.339180695,95.8973063689,1.47411124004
863.365960284,111.526533581,1.08736356472
902.331649214,111.268190219,1.09108560884
884.286875375,117.464971745,0.927280365102
1137.88595646,384.021563812,0.167767033719
1143.05358375,310.221858644,1.2343500688
1235.81769604,167.311168647,0.743642943851
1721.93740738,156.531583881,0.637679753814
1558.06377379,170.868163914,0.742308651374
1528.36773694,178.096600999,0.791139722963
1490.2677563,2629.83105911,0.487947868706
971.630486308,5287.27826567,0.545538104445
1093.42616665,923.266095662,0.736040813699
1372.47999481,17692.8359355,0.504722918282
1119.47285697,1958.69286751,0.450116646871
1068.71407227,817.92158526,0.325522896783
1223.67721258,6931.63316838,0.484549534534
1717.68590672,2193.59065731,0.523593644924
3060.14021154,4306.18642575,0.360968791474
15843.2441459,2422.60306841,0.427810435451
3839.9596747,1607.24106391,0.413921326624
497.77329245,775.548328245,0.670332680408
346.948970064,2294.02412137,0.660518114857
315.395789496,9816.77184568,0.586862288653
440.295503423,7702.95682348,0.406010572081
553.284870784,1328.3402983,0.193279121997
1122.47716323,495.700071213,0.218151245776
53281.2598411,402.451639209,0.470794037026
