Left Lane Curve Radius, Right Lane Curve Radius, Car Distance from Center of Lane
2274.54758854,1752.16842364,0.0410969578591
2875.59670217,1524.17993662,0.00527345250922
3413.11268081,1951.22653368,0.0184897309858
3452.97370754,1668.51167428,0.0561498453806
2278.00522005,1684.76595163,0.0572405135645
1812.25142391,1510.65607601,0.0541121670796
1653.54627286,1571.63255983,0.0351843165616
1536.38549419,1553.52283669,0.0319483035775
1265.06277247,9279.32583007,0.0755056582633
1272.4628483,9400.59121471,0.140142714434
1525.57158625,3653.48513912,0.0909639568757
1567.28282771,4312.95714984,0.0777158657381
1821.98624594,3967.58579454,0.0404778552079
2172.75734834,1894.46205035,0.0592332933039
2836.15469596,2223.82226232,0.0221253389829
2519.24706625,3068.73823819,0.0398826287131
3419.78717319,2395.67543765,0.0249900553543
3051.7665277,2233.06008991,0.0532752005566
2619.6006035,1845.05197807,0.0616001056021
2710.50953693,1504.3152741,0.0903658480441
2080.45029838,1300.90877367,0.0843052505686
1602.72009241,38520.5104135,0.119868402648
1536.80780937,4621.39652588,0.0860908096841
1392.28648422,1856.17081389,0.0273000473486
1422.1789695,1756.42759051,0.00624566736714
1569.57532443,1790.22460948,0.0423880844749
1502.78713858,1584.37774373,0.0370176217135
1526.23466647,1849.05135124,0.0376914258883
1548.33638878,2086.77237541,0.0215616742051
1438.37009094,2143.69317792,0.0107832376932
1395.49312021,2576.770287,0.0202827389941
1539.81796531,3288.00976494,0.0229563524771
1487.25303448,4373.37454425,0.0385585466548
1446.92341491,7558.62752053,0.154149659327
1666.79773527,2066.45551101,0.173985979017
1563.62646606,1922.8838776,0.191689311074
1718.35696484,4176.68386038,0.141173345196
1827.0385445,1966.67014687,0.0203714859767
2446.17912156,1114.66159569,0.0149319435985
4487.70719813,1238.54055398,0.0752545713846
5740.86790674,1165.40624496,0.127478361951
5030.78551646,1273.88473247,0.149889289645
4707.23909376,1080.0421141,0.20647643001
3482.57269361,786.21851876,0.269293184969
3235.80672719,776.800078137,0.281684143823
2250.607298,886.577829609,0.228492889355
1510.64466103,1999.78867362,0.00386412916746
1325.25562192,10093.1066664,0.0707597155587
1090.66381381,981.90633762,0.0579095005723
1025.7015129,873.334255442,0.102639400187
952.13949615,787.605326803,0.0354171857468
958.693578119,862.038710258,0.0165960140689
977.199300218,859.132042203,0.0178569487718
1036.7399652,885.890958132,0.0513285569041
983.948791876,1001.69839894,0.0432584689406
956.271704175,995.23675124,0.0287629113228
1007.02458339,1012.13866093,0.0291343113007
992.674816861,1180.18561904,0.00276906364502
1273.81228513,3513.2425647,0.0535424711826
1282.20326591,3252.55661339,0.0860190762225
1326.99582936,2393.18118698,0.0334842513183
1276.63146517,5209.67009619,0.0457158911991
1477.67902522,3235.69212915,0.00711129580294
1517.85008019,1830.27852832,0.00562811659106
1693.24289101,1655.04248484,0.0327987167211
1940.38148548,1700.31728344,0.0636678766522
1669.07752086,1821.83910291,0.0734240571975
1772.2090567,1554.77902858,0.0900145658407
1821.78602201,1334.61388896,0.111763840892
1666.64822834,1252.62077854,0.0991891534445
1703.82469612,1025.78111199,0.121533007242
1735.86545957,2169.87311183,0.0307114207217
1561.537452,4127.70560427,0.0493228451666
1688.2962667,1926.08288128,0.0419615712389
1575.08514004,1730.57133272,0.0626382550068
1404.71705599,1439.36822734,0.0666432464964
1300.19682587,1212.55474692,0.000671961508526
1233.13799513,1255.86290377,0.0119570203783
1051.43752201,1228.70434486,0.0215247454256
1152.18807863,1155.23810871,0.0603561061682
1157.04149537,999.818191892,0.0895574417055
1286.33556317,1246.07046073,0.0549630285108
1330.41970133,1132.49433325,0.0760584264264
1345.33596523,1108.72891483,0.0244205469686
1242.78207897,1018.02645673,0.00239473449166
1329.82247216,965.304831018,0.0598453060159
1575.41104596,2362.66469907,0.0111821895727
1643.38244325,3587.19985918,0.0237835610981
1791.65881805,4422.81161924,0.0341686831392
2016.91132025,4045.15704955,0.0604173766841
1551.33965874,3723.65056991,0.0570546332812
1548.30723741,3953.09060529,0.0509581640982
1896.49894748,2503.07909274,0.00481870469121
1963.48491701,2683.7176179,0.00293305085627
2192.38542096,1680.29136857,0.0617158912895
1850.09354937,3220.9762022,0.0744990069423
1973.02690349,7256.02250965,0.0706231963608
1899.59439449,6527.59669849,0.0561876714453
2112.85088768,1748.81007338,0.0437053872676
2646.84950196,1183.90811243,0.0064142050126
3799.84165446,1315.27366424,0.0463140249668
3611.64010943,1348.346657,0.0684933196759
2703.75554223,1373.16132434,0.0862064516496
1820.42365671,1594.0926595,0.0563087467662
1848.56363828,1547.77871139,0.0749203203857
1747.33080876,1644.6137191,0.0564013353673
1946.02965803,1271.3860882,0.105342250145
1692.17730347,2198.64448351,0.0517411834356
1852.80634439,2931.41336969,0.0224200332178
1881.23996881,2152.90890525,0.0170262216889
1833.92184019,1560.08885937,0.0581712429313
2021.09185935,1462.78952266,0.0222153056744
1847.56882577,1230.63223561,0.00860020382836
2226.1263137,1387.90723549,0.0446097453237
2333.22086717,1439.77956812,0.0745348608395
1735.74445269,1360.13805014,0.0847024255089
1706.73445039,1311.6359536,0.0924064721592
1696.53902493,1196.77169496,0.103403356087
1570.05226279,1352.37028732,0.0749308597945
1528.28242124,3309.51484276,0.0711113464716
1551.73043123,4967.09783665,0.0717818071455
1748.09009247,2790.73349043,0.0170433827395
2373.20996661,2297.44318132,0.0427481108332
2017.82016862,2244.14738817,0.0425091800154
2106.22604891,1439.11016854,0.00893138849154
2658.93992484,1586.39400025,0.0447201086365
3323.32695546,1591.89958393,0.0868407910361
